---------------------------------------------------------------------------------------------------------------
Benchmark                                                     Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------------
LatencyFixture/EmptyCall/0/real_time                       21.5 us         9.36 us        31554 calls/sec=46.59k/s SharedMemory
LatencyFixture/EmptyCall/1/real_time                       61.4 us         12.8 us        11634 calls/sec=16.2884k/s TCP
LatencyFixture/EmptyCall/2/real_time                       61.5 us         10.2 us        11541 calls/sec=16.249k/s WebSocket
LatencyFixture/EmptyCall/4/real_time                        102 us         12.3 us         6985 calls/sec=9.79454k/s QUIC
LatencyFixture/CallWithReturn/0/real_time                  21.8 us         9.74 us        32520 calls/sec=45.8914k/s SharedMemory
LatencyFixture/CallWithReturn/1/real_time                  61.6 us         12.8 us        11200 calls/sec=16.2212k/s TCP
LatencyFixture/CallWithReturn/2/real_time                  61.1 us         10.1 us        11369 calls/sec=16.3723k/s WebSocket
LatencyFixture/CallWithReturn/4/real_time                   104 us         12.8 us         6919 calls/sec=9.60399k/s QUIC
LatencyFixture/SmallStringCall/0/real_time                 20.6 us         9.33 us        32309 bytes_per_second=4.63902Mi/s calls/sec=48.6436k/s SharedMemory
LatencyFixture/SmallStringCall/1/real_time                 61.4 us         12.6 us        11459 bytes_per_second=1.55408Mi/s calls/sec=16.2957k/s TCP
LatencyFixture/SmallStringCall/2/real_time                 62.4 us         10.4 us        11308 bytes_per_second=1.52733Mi/s calls/sec=16.0152k/s WebSocket
LatencyFixture/SmallStringCall/4/real_time                  109 us         13.3 us         6845 bytes_per_second=897.407Ki/s calls/sec=9.18945k/s QUIC
LatencyFixture/NestedDataCall/0/real_time                  22.0 us         9.78 us        30451
LatencyFixture/NestedDataCall/1/real_time                  64.4 us         13.4 us        11385
LatencyFixture/NestedDataCall/2/real_time                  65.5 us         11.2 us         9423
LatencyFixture/NestedDataCall/4/real_time                  97.6 us         12.0 us         7227
LatencyFixture/LargeData1MB/0/real_time                   0.343 ms        0.038 ms         2067 bytes_per_second=2.84596Gi/s calls/sec=2.91427k/s SharedMemory
LatencyFixture/LargeData1MB/1/real_time                    1.24 ms        0.049 ms          807 bytes_per_second=805.283Mi/s calls/sec=805.283/s TCP
LatencyFixture/LargeData1MB/2/real_time                    1.13 ms        0.050 ms          573 bytes_per_second=885.664Mi/s calls/sec=885.664/s WebSocket
LatencyFixture/LargeData1MB/4/real_time                    4.29 ms        0.176 ms          159 bytes_per_second=233.021Mi/s calls/sec=233.021/s QUIC
LatencyFixture/LargeData10MB/0/real_time                   7.38 ms         1.11 ms           93 bytes_per_second=1.32361Gi/s calls/sec=135.538/s SharedMemory
LatencyFixture/LargeData10MB/1/real_time                   22.6 ms         1.24 ms           47 bytes_per_second=443.085Mi/s calls/sec=44.3085/s TCP
LatencyFixture/LargeData10MB/2/real_time                   13.1 ms         1.62 ms           54 bytes_per_second=765.993Mi/s calls/sec=76.5993/s WebSocket
LatencyFixture/LargeData10MB/4/real_time                   51.1 ms         5.59 ms           11 bytes_per_second=195.797Mi/s calls/sec=19.5797/s QUIC
NprpcConcurrentFixture/ConcurrentPing/4/0/real_time        2.02 ms        0.084 ms          332 avg_latency_us=25.034 calls/sec=124.671k failures=0 p99_latency_us=53.429 threads=4 SharedMemory
NprpcConcurrentFixture/ConcurrentPing/8/0/real_time        3.00 ms        0.232 ms          230 avg_latency_us=36.8799 calls/sec=168.919k failures=0 p99_latency_us=104.761 threads=8 SharedMemory
